Date,discharge_armley
14-11-2017,7.43
15-11-2017,9.66
16-11-2017,10.3
17-11-2017,9.69
18-11-2017,8.37
19-11-2017,7.89
20-11-2017,17.7
21-11-2017,45.3
22-11-2017,49.3
23-11-2017,57.4
24-11-2017,35
25-11-2017,23.8
26-11-2017,20.3
27-11-2017,32.2
28-11-2017,22.2
29-11-2017,16.6
30-11-2017,13.9
01-12-2017,12.1
02-12-2017,11.2
03-12-2017,10.6
04-12-2017,9.83
05-12-2017,9.4
06-12-2017,9.14
07-12-2017,18.1
08-12-2017,16.2
09-12-2017,11.7
10-12-2017,10.9
11-12-2017,9.56
12-12-2017,9.2
13-12-2017,33.5
14-12-2017,39.2
15-12-2017,28.6
16-12-2017,17.5
17-12-2017,17.2
18-12-2017,17.7
19-12-2017,14.1
20-12-2017,13.3
21-12-2017,13.7
22-12-2017,19.1
23-12-2017,14.9
24-12-2017,13.3
25-12-2017,13
26-12-2017,20.7
27-12-2017,15
28-12-2017,11.7
29-12-2017,17.7
30-12-2017,42.5
31-12-2017,34.1
01-01-2018,40.6
02-01-2018,43.7
03-01-2018,63.8
04-01-2018,66
05-01-2018,43.8
06-01-2018,28.8
07-01-2018,21.4
08-01-2018,17.7
09-01-2018,16.1
10-01-2018,16.6
11-01-2018,14.1
12-01-2018,12.8
13-01-2018,11.8
14-01-2018,11.5
15-01-2018,44.3
16-01-2018,38.3
17-01-2018,48.3
18-01-2018,77
19-01-2018,40.7
20-01-2018,29.7
21-01-2018,32.3
22-01-2018,48.6
23-01-2018,35.4
24-01-2018,50.7
25-01-2018,38.2
26-01-2018,34.7
27-01-2018,24.2
28-01-2018,25.7
29-01-2018,32.4
30-01-2018,23.1
31-01-2018,43.5
01-02-2018,30.9
02-02-2018,21.5
03-02-2018,23.8
04-02-2018,20.9
05-02-2018,17.3
06-02-2018,15.7
07-02-2018,13.9
08-02-2018,15.7
09-02-2018,23
10-02-2018,21.5
11-02-2018,29.6
12-02-2018,21.1
13-02-2018,26
14-02-2018,24
15-02-2018,33.9
16-02-2018,20.8
17-02-2018,18
18-02-2018,16.3
19-02-2018,17
20-02-2018,14.9
21-02-2018,12.7
22-02-2018,11.4
23-02-2018,10.6
24-02-2018,9.88
25-02-2018,9.22
26-02-2018,8.7
27-02-2018,9.08
28-02-2018,8.61
01-03-2018,8.22
02-03-2018,8.26
03-03-2018,8.2
04-03-2018,10.8
05-03-2018,20.7
