,Delhi
02-01-2019 00:00,85.8
03-01-2019 00:00,85.5
04-01-2019 00:00,83.5
05-01-2019 00:00,79.2
06-01-2019 00:00,76.6
07-01-2019 00:00,71.1
08-01-2019 00:00,69
09-01-2019 00:00,89.2
10-01-2019 00:00,92.8
11-01-2019 00:00,79.5
12-01-2019 00:00,92.6
13-01-2019 00:00,89.4
14-01-2019 00:00,82.2
15-01-2019 00:00,77.8
16-01-2019 00:00,111.8
17-01-2019 00:00,115.6
18-01-2019 00:00,117.9
19-01-2019 00:00,121.9
20-01-2019 00:00,121.7
21-01-2019 00:00,112.2
22-01-2019 00:00,108
23-01-2019 00:00,109.3
24-01-2019 00:00,111.9
25-01-2019 00:00,114.2
26-01-2019 00:00,112.7
27-01-2019 00:00,105
28-01-2019 00:00,100.5
29-01-2019 00:00,96.4
30-01-2019 00:00,41.8
31-01-2019 00:00,43.1
02-02-2019 00:00,42.9
03-02-2019 00:00,44.9
04-02-2019 00:00,43.8
05-02-2019 00:00,43.5
06-02-2019 00:00,44.1
07-02-2019 00:00,60.3
08-02-2019 00:00,63.2
09-02-2019 00:00,68.4
10-02-2019 00:00,67.6
11-02-2019 00:00,69
12-02-2019 00:00,64.8
13-02-2019 00:00,61.2
14-02-2019 00:00,71.8
15-02-2019 00:00,71.7
16-02-2019 00:00,72.7
17-02-2019 00:00,71.6
18-02-2019 00:00,71.3
19-02-2019 00:00,69.2
20-02-2019 00:00,67
21-02-2019 00:00,111.8
22-02-2019 00:00,114.9
23-02-2019 00:00,121.6
24-02-2019 00:00,128.1
25-02-2019 00:00,131.6
26-02-2019 00:00,132.2
27-02-2019 00:00,132.7
28-02-2019 00:00,69
02-03-2019 00:00,72.1
03-03-2019 00:00,71.8
04-03-2019 00:00,71.1
05-03-2019 00:00,73
06-03-2019 00:00,68
07-03-2019 00:00,67.3
08-03-2019 00:00,111.7
09-03-2019 00:00,121.6
10-03-2019 00:00,128
11-03-2019 00:00,132.7
12-03-2019 00:00,132.6
13-03-2019 00:00,129.7
14-03-2019 00:00,113.9
15-03-2019 00:00,57.8
16-03-2019 00:00,51.2
17-03-2019 00:00,58.4
18-03-2019 00:00,63
19-03-2019 00:00,66.1
20-03-2019 00:00,69.6
21-03-2019 00:00,68.3
22-03-2019 00:00,62.5
23-03-2019 00:00,63.5
24-03-2019 00:00,62.6
25-03-2019 00:00,62.4
26-03-2019 00:00,63.5
27-03-2019 00:00,60.4
28-03-2019 00:00,57.2
29-03-2019 00:00,61.7
30-03-2019 00:00,64.3
31-03-2019 00:00,65.9
02-04-2019 00:00,67.4
03-04-2019 00:00,71.8
04-04-2019 00:00,73.9
05-04-2019 00:00,69.1
06-04-2019 00:00,61.4
07-04-2019 00:00,64.1
